User,Bot,formatted
is the heart in the wrong position?,no,"User: is the heart in the wrong position? 
Bot: no
"
does the lesion demonstrate ring enhancement?,yes,"User: does the lesion demonstrate ring enhancement? 
Bot: yes
"
is this an ap or pa film?,ap,"User: is this an ap or pa film? 
Bot: ap
"
how was this image taken?,mri,"User: how was this image taken? 
Bot: mri
"
is this process bilateral?,yes,"User: is this process bilateral? 
Bot: yes
"
is the appendix seen in this image inflamed?,yes,"User: is the appendix seen in this image inflamed? 
Bot: yes
"
are the ventricles larger than normal?,yes,"User: are the ventricles larger than normal? 
Bot: yes
"
is there mass effect from the lesion?,no,"User: is there mass effect from the lesion? 
Bot: no
"
is the aortic knob widened?,no,"User: is the aortic knob widened? 
Bot: no
"
are there multiple septations within the cyst?,yes,"User: are there multiple septations within the cyst? 
Bot: yes
"
is the lesion on the right or left side of the brain?,right,"User: is the lesion on the right or left side of the brain? 
Bot: right
"
what image modality is this?,x-ray,"User: what image modality is this? 
Bot: x-ray
"
where do we see multiple infarcts in the above image?,cerebellum,"User: where do we see multiple infarcts in the above image? 
Bot: cerebellum
"
how was this image taken?,with contrast,"User: how was this image taken? 
Bot: with contrast
"
how would you describe the r heart border?,partial silhouetting,"User: how would you describe the r heart border? 
Bot: partial silhouetting
"
is the grey/white matter border well differentiated?,yes,"User: is the grey/white matter border well differentiated? 
Bot: yes
"
is subcutaneous air present?,no,"User: is subcutaneous air present? 
Bot: no
"
which lung are more markings present in?,right lung,"User: which lung are more markings present in? 
Bot: right lung
"
is the celiac trunk visualized and patent?,yes,"User: is the celiac trunk visualized and patent? 
Bot: yes
"
is the trachea midline?,yes,"User: is the trachea midline? 
Bot: yes
"
is there blurring of the grey-white matter junctions in the right temporal lobe?,yes,"User: is there blurring of the grey-white matter junctions in the right temporal lobe? 
Bot: yes
"
is the size of the pancreatic head large?,yes,"User: is the size of the pancreatic head large? 
Bot: yes
"
are the pulmonary arteries enlarged?,yes,"User: are the pulmonary arteries enlarged? 
Bot: yes
"
what muscle surrounds the vertebrae?,psoas major muscle,"User: what muscle surrounds the vertebrae? 
Bot: psoas major muscle
"
what is the lesion's disease origin?,vascular,"User: what is the lesion's disease origin? 
Bot: vascular
"
did the patient ingest contrast prior to taking this image?,yes,"User: did the patient ingest contrast prior to taking this image? 
Bot: yes
"
are there any abnormalities seen in the spleen?,no,"User: are there any abnormalities seen in the spleen? 
Bot: no
"
are there any pulmonary findings?,no,"User: are there any pulmonary findings? 
Bot: no
"
is this coronal plane?,yes,"User: is this coronal plane? 
Bot: yes
"
is it contrast these hyperintensities in the intestines?,yes,"User: is it contrast these hyperintensities in the intestines? 
Bot: yes
"
is the mass varied?,yes,"User: is the mass varied? 
Bot: yes
"
where are the lesions located?,bilateral cerebellum,"User: where are the lesions located? 
Bot: bilateral cerebellum
"
is there infiltrate in the sinuses?,no,"User: is there infiltrate in the sinuses? 
Bot: no
"
is there a normal contour of the heart?,yes,"User: is there a normal contour of the heart? 
Bot: yes
"
are the branches of the superior mesenteric arteries hyper attenuated?,yes,"User: are the branches of the superior mesenteric arteries hyper attenuated? 
Bot: yes
"
is there blunting of the left costophrenic angle?,yes,"User: is there blunting of the left costophrenic angle? 
Bot: yes
"
the cystic findings in the bilateral apices are consistent with what pathology?,emphysema,"User: the cystic findings in the bilateral apices are consistent with what pathology? 
Bot: emphysema
"
what type of image modality is this?,mr - flair,"User: what type of image modality is this? 
Bot: mr - flair
"
is there restricted diffusion?,no,"User: is there restricted diffusion? 
Bot: no
"
what part of the liver is the mass located in?,left hepatic lobe,"User: what part of the liver is the mass located in? 
Bot: left hepatic lobe
"
the pathology seen in this image is typical of what disease?,multiple sclerosis,"User: the pathology seen in this image is typical of what disease? 
Bot: multiple sclerosis
"
does the right kidney show signs of hydronephrosis?,no,"User: does the right kidney show signs of hydronephrosis? 
Bot: no
"
is there a unified process?,no,"User: is there a unified process? 
Bot: no
"
is there evidence of a pneumothorax,no,"User: is there evidence of a pneumothorax 
Bot: no
"
what modality is this image taken?,mri,"User: what modality is this image taken? 
Bot: mri
"
where is the catheter tip located?,right superior cavoatrial junction,"User: where is the catheter tip located? 
Bot: right superior cavoatrial junction
"
where is the mass?,extra-axial and at the right choroidal fissure,"User: where is the mass? 
Bot: extra-axial and at the right choroidal fissure
"
is there evidence of pneumothorax?,no,"User: is there evidence of pneumothorax? 
Bot: no
"
is the heart enlarged?,no,"User: is the heart enlarged? 
Bot: no
"
do the masses contain calcification?,yes,"User: do the masses contain calcification? 
Bot: yes
"
is there increased lung markings near the hilum?,no,"User: is there increased lung markings near the hilum? 
Bot: no
"
does this patient have any fractured ribs?,no,"User: does this patient have any fractured ribs? 
Bot: no
"
do the enhanced muscles appear enlarged?,yes,"User: do the enhanced muscles appear enlarged? 
Bot: yes
"
is this a sagittal plane image?,no,"User: is this a sagittal plane image? 
Bot: no
"
what is the location of the mass?,pineal gland,"User: what is the location of the mass? 
Bot: pineal gland
"
the imaging modality is...?,mri/flair,"User: the imaging modality is...? 
Bot: mri/flair
"
is there mass effect?,yes,"User: is there mass effect? 
Bot: yes
"
is there an aortic aneurysm?,no,"User: is there an aortic aneurysm? 
Bot: no
"
what brain region demonstrates edema?,basal ganglia,"User: what brain region demonstrates edema? 
Bot: basal ganglia
"
what is one abnormality that can be seen in the image?,increased opacity in the left retrocardiac region,"User: what is one abnormality that can be seen in the image? 
Bot: increased opacity in the left retrocardiac region
"
what abnormality is seen?,blind-ending loop of bowel arising from the cecum,"User: what abnormality is seen? 
Bot: blind-ending loop of bowel arising from the cecum
"
what plane is this image?,axial,"User: what plane is this image? 
Bot: axial
"
is this a vascular lesion,yes,"User: is this a vascular lesion 
Bot: yes
"
what kind of scan is this?,ct,"User: what kind of scan is this? 
Bot: ct
"
does this patient have multiple lesions in their chest?,no,"User: does this patient have multiple lesions in their chest? 
Bot: no
"
is gray or white matter highlighted in this image?,gray matter,"User: is gray or white matter highlighted in this image? 
Bot: gray matter
"
what is the pathology seen in the spleen?,nothing,"User: what is the pathology seen in the spleen? 
Bot: nothing
"
what is the size of the mass lesion?,5 cm,"User: what is the size of the mass lesion? 
Bot: 5 cm
"
are the lines in the image inside or outside of the patient?,outside,"User: are the lines in the image inside or outside of the patient? 
Bot: outside
"
what plane was this chest film taken in?,ap,"User: what plane was this chest film taken in? 
Bot: ap
"
is there contrast in the appendix?,no,"User: is there contrast in the appendix? 
Bot: no
"
is there a pneumothorax?,no,"User: is there a pneumothorax? 
Bot: no
"
is there a pleural effusion,no,"User: is there a pleural effusion 
Bot: no
"
is there free air under the left diaphragm?,no,"User: is there free air under the left diaphragm? 
Bot: no
"
are the kidneys hyper attenuated?,yes,"User: are the kidneys hyper attenuated? 
Bot: yes
"
is there anything abnormal about the heart size?,yes,"User: is there anything abnormal about the heart size? 
Bot: yes
"
how many gallstones are identified?,4,"User: how many gallstones are identified? 
Bot: 4
"
what would be the most probably diagnosis for this patient?,acute stroke,"User: what would be the most probably diagnosis for this patient? 
Bot: acute stroke
"
was this image taken with or without contrast?,with contrast,"User: was this image taken with or without contrast? 
Bot: with contrast
"
is the left fifth rib broken?,no,"User: is the left fifth rib broken? 
Bot: no
"
what are seen as hyperdense in the mediastinum of this image?,sternal wires,"User: what are seen as hyperdense in the mediastinum of this image? 
Bot: sternal wires
"
does the l sided lesion enhance?,yes,"User: does the l sided lesion enhance? 
Bot: yes
"
what is the location of the mass?,cecum,"User: what is the location of the mass? 
Bot: cecum
"
how big is the mass?,6.5 x 6.2 x 8.8cm,"User: how big is the mass? 
Bot: 6.5 x 6.2 x 8.8cm
"
what lobe is the infarct in?,right parietal,"User: what lobe is the infarct in? 
Bot: right parietal
"
what is the location of the mass?,sella and suprasellar cistern,"User: what is the location of the mass? 
Bot: sella and suprasellar cistern
"
where is the lesion?,right lower lobe,"User: where is the lesion? 
Bot: right lower lobe
"
what is the mr weighting in this image?,mri - t2 weighted,"User: what is the mr weighting in this image? 
Bot: mri - t2 weighted
"
is this a special kind of x-ray?,no,"User: is this a special kind of x-ray? 
Bot: no
"
what organ system is highlighted by contrast?,gi,"User: what organ system is highlighted by contrast? 
Bot: gi
"
is this a plain film xray?,yes,"User: is this a plain film xray? 
Bot: yes
"
what is the modality used?,mr - adc map,"User: what is the modality used? 
Bot: mr - adc map
"
are the costophrenic angles sharp?,yes,"User: are the costophrenic angles sharp? 
Bot: yes
"
is there evidence of ectopic tissue present in surrounding organs?,no,"User: is there evidence of ectopic tissue present in surrounding organs? 
Bot: no
"
is there a fracture?,no,"User: is there a fracture? 
Bot: no
"
are there at least 8 ribs visible for good inspiratory effort?,yes,"User: are there at least 8 ribs visible for good inspiratory effort? 
Bot: yes
"
what side are the infarcts located?,bilateral,"User: what side are the infarcts located? 
Bot: bilateral
"
which diaphragm is elevated?,right,"User: which diaphragm is elevated? 
Bot: right
"
what does the black on an x ray indicate?,air,"User: what does the black on an x ray indicate? 
Bot: air
"
what deficits are suggested by the location of the lesion?,"motor weakness, sensory deficits, and left neglect","User: what deficits are suggested by the location of the lesion? 
Bot: motor weakness, sensory deficits, and left neglect
"
is there a nodule in the left lung?,no,"User: is there a nodule in the left lung? 
Bot: no
"
is there a midline shift?,no,"User: is there a midline shift? 
Bot: no
"
which image modality is this?,mr - t2 weighted,"User: which image modality is this? 
Bot: mr - t2 weighted
"
where are the lesions located?,paratracheal area,"User: where are the lesions located? 
Bot: paratracheal area
"
what type of contrast agent is used in this mri?,gadolinium,"User: what type of contrast agent is used in this mri? 
Bot: gadolinium
"
is this a tension pneumothorax?,no,"User: is this a tension pneumothorax? 
Bot: no
"
what section is this image?,axial,"User: what section is this image? 
Bot: axial
"
is there involvement of the temporal lobes?,no,"User: is there involvement of the temporal lobes? 
Bot: no
"
are there any consolidations present in the lungs?,no,"User: are there any consolidations present in the lungs? 
Bot: no
"
is a pleural effusion present?,no,"User: is a pleural effusion present? 
Bot: no
"
what type of image is this?,x-ray,"User: what type of image is this? 
Bot: x-ray
"
why is there air seen in the bottom of the image?,posterior lung seen in the image section,"User: why is there air seen in the bottom of the image? 
Bot: posterior lung seen in the image section
"
can a pulmonary mass be appreciated?,no,"User: can a pulmonary mass be appreciated? 
Bot: no
"
is the mass hemorrhagic?,no,"User: is the mass hemorrhagic? 
Bot: no
"
are the patients' ribs symmetric on both sides?,no,"User: are the patients' ribs symmetric on both sides? 
Bot: no
"
are structures associated with the midbrain located in this image?,yes,"User: are structures associated with the midbrain located in this image? 
Bot: yes
"
are there rib fractures present?,yes,"User: are there rib fractures present? 
Bot: yes
"
"the patient's left contains a bright round organ, what is it?",left kidney,"User: the patient's left contains a bright round organ, what is it? 
Bot: left kidney
"
are there abnormalities with in the contrast between white and grey matter?,yes,"User: are there abnormalities with in the contrast between white and grey matter? 
Bot: yes
"
are the sulci blunted?,yes,"User: are the sulci blunted? 
Bot: yes
"
are the walls of the colon thickened?,yes,"User: are the walls of the colon thickened? 
Bot: yes
"
is there mass effect?,no,"User: is there mass effect? 
Bot: no
"
what structure is superimposed on the left hemidiaphragm?,sigmoid flexture of the colon,"User: what structure is superimposed on the left hemidiaphragm? 
Bot: sigmoid flexture of the colon
"
where is the enhancement in right rectus muscles?,medial and lateral rectus,"User: where is the enhancement in right rectus muscles? 
Bot: medial and lateral rectus
"
is the skull fractured?,no,"User: is the skull fractured? 
Bot: no
"
what injury does this brain image suggest?,hypoxic ischemic injury,"User: what injury does this brain image suggest? 
Bot: hypoxic ischemic injury
"
is the air under the left hemidiaphragm pathologic?,no,"User: is the air under the left hemidiaphragm pathologic? 
Bot: no
"
in what organ do you see swelling?,appendix,"User: in what organ do you see swelling? 
Bot: appendix
"
are the lesions in the cerebellum?,yes,"User: are the lesions in the cerebellum? 
Bot: yes
"
is this an axial cut?,yes,"User: is this an axial cut? 
Bot: yes
"
is this normal gallbladder finding?,no,"User: is this normal gallbladder finding? 
Bot: no
"
are there 2 kidneys?,yes,"User: are there 2 kidneys? 
Bot: yes
"
the soft-tissue density seen in this image contains what?,air,"User: the soft-tissue density seen in this image contains what? 
Bot: air
"
is the heart size normal?,yes,"User: is the heart size normal? 
Bot: yes
"
is there ring-enhancement?,no,"User: is there ring-enhancement? 
Bot: no
"
what is the pathology in this image?,cardiomegaly,"User: what is the pathology in this image? 
Bot: cardiomegaly
"
does the patient have any bone fractures?,no,"User: does the patient have any bone fractures? 
Bot: no
"
where is the abnormality located?,right convexity,"User: where is the abnormality located? 
Bot: right convexity
"
is this brain scan normal?,no,"User: is this brain scan normal? 
Bot: no
"
is there a pneumothorax present?,no,"User: is there a pneumothorax present? 
Bot: no
"
is there any blunting of the costophrenic angle(s)?,no,"User: is there any blunting of the costophrenic angle(s)? 
Bot: no
"
what type of plane is this image of?,axial,"User: what type of plane is this image of? 
Bot: axial
"
is there evidence of a pneumoperitoneum secondary to a perforation?,yes,"User: is there evidence of a pneumoperitoneum secondary to a perforation? 
Bot: yes
"
is there an intussusception present?,no,"User: is there an intussusception present? 
Bot: no
"
do you see dependent layering in the occipital horns of the lateral ventricles?,yes,"User: do you see dependent layering in the occipital horns of the lateral ventricles? 
Bot: yes
"
what area is abnormal?,right cerebellum,"User: what area is abnormal? 
Bot: right cerebellum
"
is this patient lying supine?,yes,"User: is this patient lying supine? 
Bot: yes
"
is there a pleural effusion present?,no,"User: is there a pleural effusion present? 
Bot: no
"
is there pericolic fat stranding?,yes,"User: is there pericolic fat stranding? 
Bot: yes
"
the image shows what abnormality?,abnormal hyperintensity in the right occipital lobe,"User: the image shows what abnormality? 
Bot: abnormal hyperintensity in the right occipital lobe
"
does the heart appear normal size?,no,"User: does the heart appear normal size? 
Bot: no
"
is there hydronephrosis?,yes,"User: is there hydronephrosis? 
Bot: yes
"
is the apical aeration normal or decreased?,normal,"User: is the apical aeration normal or decreased? 
Bot: normal
"
where is the bleed?,subarachnoid,"User: where is the bleed? 
Bot: subarachnoid
"
what is wrong with the aortic area?,it is enlarged with prominence of the aortic knob,"User: what is wrong with the aortic area? 
Bot: it is enlarged with prominence of the aortic knob
"
is this a pa film?,yes,"User: is this a pa film? 
Bot: yes
"
is the mass cystic?,yes,"User: is the mass cystic? 
Bot: yes
"
is there air in the lesion?,no,"User: is there air in the lesion? 
Bot: no
"
is this an image of the right and left temporal lobes?,yes,"User: is this an image of the right and left temporal lobes? 
Bot: yes
"
would you describe the mass as cystic?,yes,"User: would you describe the mass as cystic? 
Bot: yes
"
what vessel is seen just anterior to the spine enhancing with contrast?,the aorta,"User: what vessel is seen just anterior to the spine enhancing with contrast? 
Bot: the aorta
"
what is the the dark gray surrounding the periphery of the image?,fat,"User: what is the the dark gray surrounding the periphery of the image? 
Bot: fat
"
where is the largest cystic lesion in the image?,left kidney,"User: where is the largest cystic lesion in the image? 
Bot: left kidney
"
is it difficult to delineate the left costophrenic angle?,yes,"User: is it difficult to delineate the left costophrenic angle? 
Bot: yes
"
is there blurring of the grey-white matter junction?,no,"User: is there blurring of the grey-white matter junction? 
Bot: no
"
what is the most likely etiology,viral/inflammatory,"User: what is the most likely etiology 
Bot: viral/inflammatory
"
is there evidence of portal venous congestion?,no,"User: is there evidence of portal venous congestion? 
Bot: no
"
is this a ct image?,yes,"User: is this a ct image? 
Bot: yes
"
where is the lesion located?,left cerebellum,"User: where is the lesion located? 
Bot: left cerebellum
"
is the heart larger than normal?,no,"User: is the heart larger than normal? 
Bot: no
"
can you appreciate a shift of the midline?,yes,"User: can you appreciate a shift of the midline? 
Bot: yes
"
which side was affected?,left,"User: which side was affected? 
Bot: left
"
which organ contains the air-fluid level?,stomach,"User: which organ contains the air-fluid level? 
Bot: stomach
"
are there multiple masses or just a single big one?,just one,"User: are there multiple masses or just a single big one? 
Bot: just one
"
where are the kidneys located?,adjacent to vertebrae,"User: where are the kidneys located? 
Bot: adjacent to vertebrae
"
where is the enhancement in left rectus muscles?,medial rectus,"User: where is the enhancement in left rectus muscles? 
Bot: medial rectus
"
is there evidence of brainstem herniation in this section,no,"User: is there evidence of brainstem herniation in this section 
Bot: no
"
if the mass compressed the left renal vein in a male	what else might you expect to see?,varicocele,"User: if the mass compressed the left renal vein in a male	what else might you expect to see? 
Bot: varicocele
"
is the aorta visible in this section?,yes,"User: is the aorta visible in this section? 
Bot: yes
"
how would you describe the mass on the left kidney?,well-circumscribed,"User: how would you describe the mass on the left kidney? 
Bot: well-circumscribed
"
is subdiaphragmatic free air present?,no,"User: is subdiaphragmatic free air present? 
Bot: no
"
what types of infarcts are these most likely?,punctate,"User: what types of infarcts are these most likely? 
Bot: punctate
"
is there any hemorrhage?,no,"User: is there any hemorrhage? 
Bot: no
"
what is this type of lesion called?,ring-enhancing,"User: what is this type of lesion called? 
Bot: ring-enhancing
"
what imaging modality is seen here?,ct with gi and iv contrast,"User: what imaging modality is seen here? 
Bot: ct with gi and iv contrast
"
where is the abscess located?,descending colon,"User: where is the abscess located? 
Bot: descending colon
"
are both lungs abnormally inflated?,no,"User: are both lungs abnormally inflated? 
Bot: no
"
are the lesions only in one lobe?,no,"User: are the lesions only in one lobe? 
Bot: no
"
can x rays be used to identify liver lesions?,no,"User: can x rays be used to identify liver lesions? 
Bot: no
"
is there lesion to other structures besides the medulla?,no,"User: is there lesion to other structures besides the medulla? 
Bot: no
"
where is the cardiac border more obscured?,right,"User: where is the cardiac border more obscured? 
Bot: right
"
are the lines seen on the exterior or interior of the patient?,exterior,"User: are the lines seen on the exterior or interior of the patient? 
Bot: exterior
"
which rectus muscles are enhanced on the left?,medial rectus,"User: which rectus muscles are enhanced on the left? 
Bot: medial rectus
"
what is the location of the mass?,left rectus abdominus,"User: what is the location of the mass? 
Bot: left rectus abdominus
"
is the spleen present?,yes,"User: is the spleen present? 
Bot: yes
"
is the cyst complex?,yes,"User: is the cyst complex? 
Bot: yes
"
what kind of brain bleed is this?,subarachnoid,"User: what kind of brain bleed is this? 
Bot: subarachnoid
"
are the brain ventricles visible?,no,"User: are the brain ventricles visible? 
Bot: no
"
is the liver normal?,yes,"User: is the liver normal? 
Bot: yes
"
how would you describe the duodenum?,edematous,"User: how would you describe the duodenum? 
Bot: edematous
"
what ventricle is the lesion compressing?,4th ventricle,"User: what ventricle is the lesion compressing? 
Bot: 4th ventricle
"
is there any lesion in the ventricles?,yes,"User: is there any lesion in the ventricles? 
Bot: yes
"
are the lateral ventricles viewed in this section?,yes,"User: are the lateral ventricles viewed in this section? 
Bot: yes
"
has the small bowel perforated?,no,"User: has the small bowel perforated? 
Bot: no
"
are there any other organs visualized in this image?,yes,"User: are there any other organs visualized in this image? 
Bot: yes
"
where are the lesions?,paratracheal area,"User: where are the lesions? 
Bot: paratracheal area
"
is this a pa film?,yes,"User: is this a pa film? 
Bot: yes
"
is there mass shift pathology?,no,"User: is there mass shift pathology? 
Bot: no
"
the air fluid level is in which location?,cardiac region,"User: the air fluid level is in which location? 
Bot: cardiac region
"
did this patient sustain physical damage?,no,"User: did this patient sustain physical damage? 
Bot: no
"
is there a rib fracture?,no,"User: is there a rib fracture? 
Bot: no
"
which vertebral level is this image?,l2,"User: which vertebral level is this image? 
Bot: l2
"
are regions of the brain infarcted?,yes,"User: are regions of the brain infarcted? 
Bot: yes
"
can you see all of the ribs on the left side?,no,"User: can you see all of the ribs on the left side? 
Bot: no
"
what is the pathology?,left apical pneumothorax,"User: what is the pathology? 
Bot: left apical pneumothorax
"
what are the characteristics of the mass?,isointense,"User: what are the characteristics of the mass? 
Bot: isointense
"
why are the chostrochondral junctions not seen on this film?,cartilage is not well viewed by x rays,"User: why are the chostrochondral junctions not seen on this film? 
Bot: cartilage is not well viewed by x rays
"
is the right hemidiaphragm higher than the left?,yes,"User: is the right hemidiaphragm higher than the left? 
Bot: yes
"
are the airway walls thickened in the bases?,yes,"User: are the airway walls thickened in the bases? 
Bot: yes
"
do the kidneys show a high level of contrast enhancement?,yes,"User: do the kidneys show a high level of contrast enhancement? 
Bot: yes
"
is there evidence of an abdominal hernia?,no,"User: is there evidence of an abdominal hernia? 
Bot: no
"
is this an image of normal physiology?,no,"User: is this an image of normal physiology? 
Bot: no
"
do you suspect a physical injury?,no,"User: do you suspect a physical injury? 
Bot: no
"
where are the infarcts seen?,bilateral,"User: where are the infarcts seen? 
Bot: bilateral
"
are the lungs affected?,no,"User: are the lungs affected? 
Bot: no
"
is a noncontrast ct the first imaging test for a suspected brain bleed?,yes,"User: is a noncontrast ct the first imaging test for a suspected brain bleed? 
Bot: yes
"
is there any lesion in the left kidney,no,"User: is there any lesion in the left kidney 
Bot: no
"
is there significant difference between gray and white matter here?,yes,"User: is there significant difference between gray and white matter here? 
Bot: yes
"
what is the organ system visualized?,gastrointestinal,"User: what is the organ system visualized? 
Bot: gastrointestinal
"
is the aortic arch shape abnormal?,no,"User: is the aortic arch shape abnormal? 
Bot: no
"
is this an abscess or cancer?,abscess,"User: is this an abscess or cancer? 
Bot: abscess
"
is this patient healthy?,no,"User: is this patient healthy? 
Bot: no
"
is there evidence of a pleural effusion?,no,"User: is there evidence of a pleural effusion? 
Bot: no
"
is the right costophrenic angle sharp?,no,"User: is the right costophrenic angle sharp? 
Bot: no
"
is there an abnormality?,yes,"User: is there an abnormality? 
Bot: yes
"
does the skull appear fractured?,no,"User: does the skull appear fractured? 
Bot: no
"
are there air-fluid levels present on this ct radiograph?,yes,"User: are there air-fluid levels present on this ct radiograph? 
Bot: yes
"
which ventricle is compressed by the lesion?,4th ventricle,"User: which ventricle is compressed by the lesion? 
Bot: 4th ventricle
"
what is the image plane?,axial,"User: what is the image plane? 
Bot: axial
"
is the pathologic part of this image the small bowel or colon?,small bowel,"User: is the pathologic part of this image the small bowel or colon? 
Bot: small bowel
"
describe the appendix,"enlarged, fluid-filled","User: describe the appendix 
Bot: enlarged, fluid-filled
"
how would you describe the lesion?,ring-enhancing lesion,"User: how would you describe the lesion? 
Bot: ring-enhancing lesion
"
what pathology is seen int his image?,right sided pleural effusion,"User: what pathology is seen int his image? 
Bot: right sided pleural effusion
"
is the trachea midline?,yes,"User: is the trachea midline? 
Bot: yes
"
is hyperinflation depicted?,yes,"User: is hyperinflation depicted? 
Bot: yes
"
is the right costophrenic angle easily visualized?,no,"User: is the right costophrenic angle easily visualized? 
Bot: no
"
where is there an air fluid level?,cardiac region,"User: where is there an air fluid level? 
Bot: cardiac region
"
the image shows what organ system?,cardiopulmonary,"User: the image shows what organ system? 
Bot: cardiopulmonary
"
is the gallbladder wall enhanced by contrast?,yes,"User: is the gallbladder wall enhanced by contrast? 
Bot: yes
"
is the mass heterogenous?,yes,"User: is the mass heterogenous? 
Bot: yes
"
are sections of bowel recognizable?,yes,"User: are sections of bowel recognizable? 
Bot: yes
"
was this chest x ray taken in pa format?,yes,"User: was this chest x ray taken in pa format? 
Bot: yes
"
is the pancreas edematous?,yes,"User: is the pancreas edematous? 
Bot: yes
"
is there evidence of mediastinal shift?,no,"User: is there evidence of mediastinal shift? 
Bot: no
"
is there a mass demonstrated?,yes,"User: is there a mass demonstrated? 
Bot: yes
"
is there edema in the patient's right temporal lobe?,yes,"User: is there edema in the patient's right temporal lobe? 
Bot: yes
"
is the heart greater than 50% of the chest diameter,yes,"User: is the heart greater than 50% of the chest diameter 
Bot: yes
"
what imaging modality is used?,plain film xray,"User: what imaging modality is used? 
Bot: plain film xray
"
which lobe of the brain demonstrates a hyper-intense signal in this t2 weighted mri image?,the left occipital lobe,"User: which lobe of the brain demonstrates a hyper-intense signal in this t2 weighted mri image? 
Bot: the left occipital lobe
"
what can be typically visualized in this plane?,lungs 	bony thoracic cavit y	mediastinum and great vessels,"User: what can be typically visualized in this plane? 
Bot: lungs 	bony thoracic cavit y	mediastinum and great vessels
"
is there stool in the colon?,yes,"User: is there stool in the colon? 
Bot: yes
"
what is the air under the left hemidiaphragm?,stomach bubble,"User: what is the air under the left hemidiaphragm? 
Bot: stomach bubble
"
does the appendix appear normal or abnormal?,normal,"User: does the appendix appear normal or abnormal? 
Bot: normal
"
is there blunting of the costovertebral angles?,no,"User: is there blunting of the costovertebral angles? 
Bot: no
"
which fissure is the hemorrhage located?,right sylvian fissure,"User: which fissure is the hemorrhage located? 
Bot: right sylvian fissure
"
what are the two hyperlucent inferior dots?,nipple location,"User: what are the two hyperlucent inferior dots? 
Bot: nipple location
"
is there more that one lesion present?,no,"User: is there more that one lesion present? 
Bot: no
"
do you suspect vascular process or a genetic process?,genetic,"User: do you suspect vascular process or a genetic process? 
Bot: genetic
"
are the ribs broken?,no,"User: are the ribs broken? 
Bot: no
"
is the cecum dilated,yes,"User: is the cecum dilated 
Bot: yes
"
where are the most infiltrates located?,left lung,"User: where are the most infiltrates located? 
Bot: left lung
"
does the patient have a central line placed?,yes,"User: does the patient have a central line placed? 
Bot: yes
"
where in the image are the calcifications located?,high on the image,"User: where in the image are the calcifications located? 
Bot: high on the image
"
are the ventricles normal?,no,"User: are the ventricles normal? 
Bot: no
"
what organ system is evaluated primarily?,gi,"User: what organ system is evaluated primarily? 
Bot: gi
"
where are the most lung markings?,right lung,"User: where are the most lung markings? 
Bot: right lung
"
is there evidence of a mass lesion at the right hilum?,no,"User: is there evidence of a mass lesion at the right hilum? 
Bot: no
"
what is the vascular distribution of these infarcts?,all three vascular distributions,"User: what is the vascular distribution of these infarcts? 
Bot: all three vascular distributions
"
which rectus muscles are enhanced on the right?,medial and lateral rectus,"User: which rectus muscles are enhanced on the right? 
Bot: medial and lateral rectus
"
what type of image is this?,chest x-ray,"User: what type of image is this? 
Bot: chest x-ray
"
what category is the hemmorhage?,subarachnoid,"User: what category is the hemmorhage? 
Bot: subarachnoid
"
can ct be used to assess soft tissues?,yes,"User: can ct be used to assess soft tissues? 
Bot: yes
"
what type of modality was this image taken?,mri - t2 weighted,"User: what type of modality was this image taken? 
Bot: mri - t2 weighted
"
what is on the differential?,chronic sinusitis vs. hemorrhage,"User: what is on the differential? 
Bot: chronic sinusitis vs. hemorrhage
"
are the ventricles smaller than normal?,yes,"User: are the ventricles smaller than normal? 
Bot: yes
"
how can you tell that one side is small bowen and the other side is large bowel?,location of the contrast?,"User: how can you tell that one side is small bowen and the other side is large bowel? 
Bot: location of the contrast?
"
what finding is associated with liver?,ascites,"User: what finding is associated with liver? 
Bot: ascites
"
are the air fluid levels located in colon?,yes,"User: are the air fluid levels located in colon? 
Bot: yes
"
do you see a pleural effusion?,no,"User: do you see a pleural effusion? 
Bot: no
"
is this image a ct or mri image?,ct,"User: is this image a ct or mri image? 
Bot: ct
"
what imaging plane is depicted here?,axial,"User: what imaging plane is depicted here? 
Bot: axial
"
is there bowel perforation present?,no,"User: is there bowel perforation present? 
Bot: no
"
what is the primary abnormality in this image?,ring enhancing lesion in the left occipital lobe,"User: what is the primary abnormality in this image? 
Bot: ring enhancing lesion in the left occipital lobe
"
what modality is shown?,flair mri,"User: what modality is shown? 
Bot: flair mri
"
what organ system is displayed?,cns,"User: what organ system is displayed? 
Bot: cns
"
is the trachea deviated from midline?,no,"User: is the trachea deviated from midline? 
Bot: no
"
what are the opacities to the left?,contrast in the intestines,"User: what are the opacities to the left? 
Bot: contrast in the intestines
"
what is the intensity signal of csf?,hypointense,"User: what is the intensity signal of csf? 
Bot: hypointense
"
is the brain tissue ischemic?,yes,"User: is the brain tissue ischemic? 
Bot: yes
"
is this image taken with or without contrast?,with contrast,"User: is this image taken with or without contrast? 
Bot: with contrast
"
is there a mediastinal shift?,yes,"User: is there a mediastinal shift? 
Bot: yes
"
which lung are the nodules located in?,bilateral,"User: which lung are the nodules located in? 
Bot: bilateral
"
where is the cortical lesion?,right temporal lobe,"User: where is the cortical lesion? 
Bot: right temporal lobe
"
is this an axial image?,yes,"User: is this an axial image? 
Bot: yes
"
which organ is abnormally large?,spleen,"User: which organ is abnormally large? 
Bot: spleen
"
